"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 26 06:34:17 UTC 2024","Fri Jan 26 06:34:17 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"skipped","Fri Jan 26 05:15:01 UTC 2024","Fri Jan 26 05:15:01 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Jan 26 05:41:16 UTC 2024","Fri Jan 26 05:41:17 UTC 2024","869","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Fri Jan 26 05:21:57 UTC 2024","Fri Jan 26 05:22:13 UTC 2024","15847","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Fri Jan 26 04:35:04 UTC 2024","Fri Jan 26 04:36:15 UTC 2024","70057","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Fri Jan 26 05:40:57 UTC 2024","Fri Jan 26 05:41:03 UTC 2024","6346","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"failed","Fri Jan 26 05:36:16 UTC 2024","Fri Jan 26 05:38:49 UTC 2024","152465","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Fri Jan 26 04:56:52 UTC 2024","Fri Jan 26 04:56:54 UTC 2024","2473","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Fri Jan 26 05:41:12 UTC 2024","Fri Jan 26 05:41:15 UTC 2024","3294","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Fri Jan 26 05:17:03 UTC 2024","Fri Jan 26 05:17:46 UTC 2024","43868","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Fri Jan 26 05:19:22 UTC 2024","Fri Jan 26 05:19:35 UTC 2024","13597","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Fri Jan 26 04:29:52 UTC 2024","Fri Jan 26 04:29:55 UTC 2024","2240","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Jan 26 06:40:00 UTC 2024","Fri Jan 26 06:40:03 UTC 2024","3021","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"skipped","Fri Jan 26 04:54:28 UTC 2024","Fri Jan 26 04:54:28 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"skipped","Fri Jan 26 04:54:28 UTC 2024","Fri Jan 26 04:54:28 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Fri Jan 26 06:40:12 UTC 2024","Fri Jan 26 06:40:33 UTC 2024","21575","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"skipped","Fri Jan 26 04:54:28 UTC 2024","Fri Jan 26 04:54:28 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Fri Jan 26 04:29:55 UTC 2024","Fri Jan 26 04:30:16 UTC 2024","21782","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Fri Jan 26 04:56:54 UTC 2024","Fri Jan 26 04:56:54 UTC 2024","233","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Fri Jan 26 05:36:04 UTC 2024","Fri Jan 26 05:36:14 UTC 2024","9544","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Fri Jan 26 05:41:15 UTC 2024","Fri Jan 26 05:41:16 UTC 2024","972","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Fri Jan 26 05:19:48 UTC 2024","Fri Jan 26 05:19:51 UTC 2024","2786","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Fri Jan 26 05:19:45 UTC 2024","Fri Jan 26 05:19:48 UTC 2024","3264","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Fri Jan 26 04:31:57 UTC 2024","Fri Jan 26 04:32:13 UTC 2024","16533","","6. Company Account","","","","1. Validate login credentials",""
"skipped","Fri Jan 26 05:15:01 UTC 2024","Fri Jan 26 05:15:01 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Fri Jan 26 04:58:56 UTC 2024","Fri Jan 26 04:58:57 UTC 2024","1001","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Fri Jan 26 05:22:13 UTC 2024","Fri Jan 26 05:26:21 UTC 2024","248446","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Jan 26 04:32:59 UTC 2024","Fri Jan 26 04:33:10 UTC 2024","10425","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Fri Jan 26 05:19:42 UTC 2024","Fri Jan 26 05:19:45 UTC 2024","3113","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Fri Jan 26 04:32:13 UTC 2024","Fri Jan 26 04:32:23 UTC 2024","9319","","6. Company Account","","","","2. Create a Company Account",""
"passed","Fri Jan 26 05:19:35 UTC 2024","Fri Jan 26 05:19:39 UTC 2024","3687","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"skipped","Fri Jan 26 04:54:28 UTC 2024","Fri Jan 26 04:54:28 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Fri Jan 26 04:30:17 UTC 2024","Fri Jan 26 04:30:19 UTC 2024","2068","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Jan 26 04:37:43 UTC 2024","Fri Jan 26 04:37:59 UTC 2024","16583","","9. Client Portal - Home","","","","1. Check links",""
"passed","Fri Jan 26 05:19:54 UTC 2024","Fri Jan 26 05:20:07 UTC 2024","13360","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Fri Jan 26 05:19:39 UTC 2024","Fri Jan 26 05:19:42 UTC 2024","2830","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Fri Jan 26 04:59:02 UTC 2024","Fri Jan 26 04:59:04 UTC 2024","1369","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Fri Jan 26 05:40:43 UTC 2024","Fri Jan 26 05:40:57 UTC 2024","13974","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Fri Jan 26 06:39:46 UTC 2024","Fri Jan 26 06:39:56 UTC 2024","9957","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Fri Jan 26 05:42:53 UTC 2024","Fri Jan 26 05:42:59 UTC 2024","6605","","21. Forgot password function","","","","1. Direct to forgot password page",""
"skipped","Fri Jan 26 05:15:01 UTC 2024","Fri Jan 26 05:15:01 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Fri Jan 26 04:28:29 UTC 2024","Fri Jan 26 04:28:46 UTC 2024","17119","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Jan 26 04:32:55 UTC 2024","Fri Jan 26 04:32:59 UTC 2024","4354","","6. Company Account","","","","6. Review Review Page",""
"passed","Fri Jan 26 05:20:07 UTC 2024","Fri Jan 26 05:20:18 UTC 2024","10625","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"broken","Fri Jan 26 04:54:28 UTC 2024","Fri Jan 26 04:54:28 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Jan 26 04:33:13 UTC 2024","Fri Jan 26 04:33:14 UTC 2024","485","","6. Company Account","","","","9. Review Final Review",""
"passed","Fri Jan 26 04:29:38 UTC 2024","Fri Jan 26 04:29:41 UTC 2024","3245","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Jan 26 06:40:33 UTC 2024","Fri Jan 26 06:40:35 UTC 2024","1374","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Fri Jan 26 04:32:29 UTC 2024","Fri Jan 26 04:32:40 UTC 2024","11026","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"skipped","Fri Jan 26 04:54:28 UTC 2024","Fri Jan 26 04:54:28 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Jan 26 05:19:51 UTC 2024","Fri Jan 26 05:19:54 UTC 2024","2370","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Fri Jan 26 04:28:54 UTC 2024","Fri Jan 26 04:29:28 UTC 2024","33340","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Jan 26 04:56:54 UTC 2024","Fri Jan 26 04:57:12 UTC 2024","17398","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Fri Jan 26 04:30:19 UTC 2024","Fri Jan 26 04:30:19 UTC 2024","378","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"skipped","Fri Jan 26 05:15:01 UTC 2024","Fri Jan 26 05:15:01 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Jan 26 05:42:59 UTC 2024","Fri Jan 26 05:43:18 UTC 2024","18248","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri Jan 26 04:33:10 UTC 2024","Fri Jan 26 04:33:13 UTC 2024","3034","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Jan 26 04:32:23 UTC 2024","Fri Jan 26 04:32:29 UTC 2024","5949","","6. Company Account","","","","3. Complete Investment Choice",""
"skipped","Fri Jan 26 05:15:01 UTC 2024","Fri Jan 26 05:15:01 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Fri Jan 26 04:32:40 UTC 2024","Fri Jan 26 04:32:44 UTC 2024","4817","","6. Company Account","","","","5. Complete Screen and tilts",""
"skipped","Fri Jan 26 04:54:28 UTC 2024","Fri Jan 26 04:54:28 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"skipped","Fri Jan 26 04:54:28 UTC 2024","Fri Jan 26 04:54:28 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"broken","Fri Jan 26 05:15:01 UTC 2024","Fri Jan 26 05:15:01 UTC 2024","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Fri Jan 26 05:35:53 UTC 2024","Fri Jan 26 05:36:04 UTC 2024","11588","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri Jan 26 06:39:58 UTC 2024","Fri Jan 26 06:40:00 UTC 2024","2060","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Jan 26 06:40:03 UTC 2024","Fri Jan 26 06:40:12 UTC 2024","8915","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Fri Jan 26 04:58:40 UTC 2024","Fri Jan 26 04:58:56 UTC 2024","15988","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Fri Jan 26 04:58:57 UTC 2024","Fri Jan 26 04:59:02 UTC 2024","4908","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Fri Jan 26 05:20:18 UTC 2024","Fri Jan 26 05:20:20 UTC 2024","2049","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Fri Jan 26 05:36:14 UTC 2024","Fri Jan 26 05:36:16 UTC 2024","2454","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Fri Jan 26 04:28:46 UTC 2024","Fri Jan 26 04:28:54 UTC 2024","8703","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Fri Jan 26 05:41:03 UTC 2024","Fri Jan 26 05:41:04 UTC 2024","316","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Fri Jan 26 05:41:04 UTC 2024","Fri Jan 26 05:41:12 UTC 2024","8192","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Fri Jan 26 04:56:35 UTC 2024","Fri Jan 26 04:56:51 UTC 2024","16029","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Fri Jan 26 04:29:28 UTC 2024","Fri Jan 26 04:29:38 UTC 2024","9975","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
